rn	rab.all	rab.win.hide.untreated.Day.1	rab.win.hide.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K18642	-2.41306505971356	-1.97867106704361	-4.51924096240291	-2.52397639647183	2.18802735251805	-1.17354820009068	0.00533419621483456	0.194542802673318	0.275629722390608	0.104099999999999	0.159178628218737
K18647	-9.08094698896363	-9.33895873110137	-8.87692487145372	0.04604972288654	4.92632874933904	0.00733682969855155	0.495003331297425	0.602722966045063	0.672465198233821	0.756700000000002	0.798916236021796
K18649	-6.39526380679404	-4.68593118804899	-8.86767061565514	-3.93378667176089	2.81772604205392	-1.36176494988496	0.0373085801471787	0.107101444606667	0.167944728575419	0.141999999999999	0.202966226796073
K18650	-1.60818273482987	-1.88083821099946	-0.751621612005643	1.38363813936855	0.937696593880752	1.59638697190396	0.0139909986346186	0.0658433214844168	0.121150710195204	0.112599999999998	0.169193480486012
K18652	-4.49709429119497	-3.73520805343477	-7.21312851893441	-3.57018912431667	3.28116137294669	-0.992929598303443	0.102598307733082	0.171582632117551	0.249086845185162	0.219999999999998	0.29492271255692
K18653	-8.27803705610153	-9.43302839049698	-7.30124506212659	1.68624926546995	5.33456047606301	0.313583219359073	0.342666673134211	0.569535733122715	0.642331676379257	0.676099999999997	0.730986775484954
K18654	-3.9133073269986	-2.38963332465719	-7.21881776060797	-4.38712849834698	3.19711229396705	-1.29230542827707	0.0226517649978984	0.122991688719653	0.19168691208478	0.121399999999999	0.180343480554827
K18657	1.30271993355233	1.02701176682188	1.91754757950938	0.911221398889906	0.632498402280516	1.51871073207003	0.000673368629139601	0.132987370323981	0.20567879181123	0.100899999999999	0.155472883097574
K18660	-4.03129141520853	-4.78444552321347	-3.58416811548242	1.24832307552486	2.66720358260106	0.387987495072523	0.329780153690359	0.475567859205927	0.568246545474105	0.675699999999999	0.737618739711304
K18661	1.23646821534717	0.387656267418135	2.46563599787919	1.52128469518636	1.15595210171284	1.63785105686635	0.0826667176232844	0.067116730769472	0.123611056753555	0.178999999999998	0.250291969131358
K18662	-3.12354480308751	-1.59444164520745	-8.84631861865072	-7.49286195962289	2.61504925453964	-2.97930252385977	4.67861010389608e-05	0.0328044643602416	0.0729636375670445	0.0999999999999986	0.154379986830979
K18672	2.5059636605161	2.96150292097102	2.27128514270874	-0.516534048602062	1.11130574669331	-0.575373374428999	0.219187223699967	0.422966895522929	0.5202912755512	0.399999999999994	0.497711094355364
K18673	-0.363016031070323	-0.423062065725606	-0.266765561337948	0.431138365545234	0.936852332707078	0.301602696970949	0.306000008458571	0.396822471131147	0.494321678942531	0.642599999999998	0.706826898005055
K18675	-7.90370714054615	-6.89327616377522	-8.77269138927631	-1.88708358250969	4.26201249992445	-0.391748196619559	0.311125924204762	0.528589135192618	0.599403498970173	0.621899999999998	0.67833405296922
K18676	3.5631511006981	1.55932079879406	4.36018670741326	2.77186874557344	0.197425635748522	10.7366702915369	4.67861010389608e-05	0.0342203549342457	0.0793428721995953	0.0999999999999986	0.154379986830979
K18678	-1.65218918347738	-2.04304753166508	-0.583384947322742	1.04532022261741	0.896349369810684	0.817333295680475	0.269333344186377	0.347925973379108	0.439888251107912	0.558599999999995	0.631658204583882
K18682	3.75669529424723	3.51761325419084	3.97886662895641	0.577058069281194	0.297181894010622	2.10761419292773	4.67861010389608e-05	0.027011482481183	0.0682606806698159	0.0999999999999986	0.154379986830979
K18691	3.49859320175993	2.52090354598599	4.63211194712098	2.05441041793342	0.309132959486817	6.2290502482005	4.67861010389608e-05	0.00215766142157541	0.0254249567323066	0.0999999999999986	0.154379986830979
K18692	1.71621572576289	2.32882099687811	0.803691438198118	-1.51869626753608	1.31599791460098	-1.13082601917772	0.114666701812045	0.165533730307604	0.243701013777868	0.199999999999997	0.275806275379857
K18697	1.42756279994886	0.747808819165451	2.13118207286267	1.33751230274671	0.20091367138701	6.6564885997301	4.67861010389608e-05	0.000985062372188641	0.0253433709426102	0.0999999999999986	0.154379986830979
K18698	-9.39594956571481	-9.90869182883011	-8.86233810714615	1.22925410774267	4.15695194850377	0.244705686072881	0.365756167909403	0.496786509788634	0.569088718790452	0.602799999999998	0.657059661967735
K18699	-5.18593256004904	-5.38644379823385	-4.70426183060255	0.690471459542071	1.30987243605765	0.448505188721187	0.318000007770269	0.511002331122858	0.580681104401519	0.611699999999999	0.66754517035109
K18700	-0.0841631512876013	-2.32810204531033	1.57806230507677	3.83708489864473	1.53835041189871	2.19348061982099	4.67861010389608e-05	0.0514504026419813	0.102936138040846	0.0999999999999986	0.154379986830979
K18701	-1.22340871714843	0.264609231926118	-4.90303264579172	-5.47043646993458	1.88645739410327	-3.23482242250304	4.67861010389608e-05	0.0570126185145431	0.106550288748913	0.0999999999999986	0.154379986830979
K18702	-0.434722539906401	-0.447273269566262	-0.396943130904985	-0.0169563692243795	1.21052316698174	-0.0147567405080813	0.490339773841787	0.91725908802321	0.939632612759651	0.954400000000002	0.964356239304084
