rn	rab.all	rab.win.hide.lime.Day.6	rab.win.hide.untreated.Day.1	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K05501	3.51550899159978	4.22471230178132	2.35426297351817	-1.38649300116605	0.858467314286802	-2.17518252047642	4.67861010389608e-05	0.0266275833063814	0.618708901759016	0.0999999999999986	0.529460364870339
K05515	5.66543888974931	6.01163069949629	5.47753645641097	-0.534264762920821	0.301634341830033	-1.76097209638364	4.67861010389608e-05	0.0624988697616542	0.619422935661166	0.0999999999999986	0.529460364870339
K05516	4.12434255470634	5.44708379141274	3.63992595903326	-0.931015848960921	1.19730324784948	-0.866004156810019	0.296666675689746	0.334192215960454	0.642738622064822	0.594999999999996	0.786470144714581
K05517	1.51190157074815	2.0118321680265	1.37966825493649	-0.627504395692787	0.651117883919334	-0.944641952498562	0.137241867103627	0.220261571548688	0.619787982246594	0.258599999999998	0.571113908969867
K05518	0.27630996319049	-0.0359510586935343	0.44382730539537	0.486353351141016	0.247281751987174	1.99653911292213	0.00533064245631318	0.0412150675552875	0.612855125876342	0.108299999999998	0.530481666211447
K05519	-0.990837342731611	-1.09614753715424	-0.92395029378703	0.179515728050031	0.724925490510797	0.217085167957555	0.396000004026034	0.571690274857993	0.763349068401451	0.842900000000002	0.918133857992345
K05520	6.094235376631	6.19835616120672	5.90568649078641	-0.231842629643784	0.385680435052365	-0.681835070029382	0.222000014903501	0.349302768759283	0.649061404562952	0.399999999999994	0.671631928137239
K05521	1.03943427716595	1.18804902088618	0.95680360221028	-0.438222206907702	0.472932996097874	-0.929145327023413	0.157333357264905	0.202363944100291	0.62114741370302	0.306799999999998	0.610263868822569
K05522	3.83579030314842	4.35013837846307	3.65014241042532	-0.665522724133997	0.652469676098268	-1.05573007260428	0.116000034673416	0.164414838340667	0.619422935661166	0.214199999999997	0.539033929992144
K05523	1.29913072018598	1.58967155920725	1.10548483250073	-0.460572570889954	0.617373891251406	-0.722660635469277	0.197868105543786	0.2918727437982	0.631405341109062	0.363199999999995	0.642914470620005
K05524	5.19922630063479	5.5370902550675	5.02463371515085	-0.405929575213298	0.508325485910186	-0.897159958993337	0.167888096599568	0.253134928831378	0.620765168616808	0.309199999999997	0.60635607896815
K05525	-9.97814985287309	-8.57140199889113	-10.9518601479673	-2.44454124996756	4.58506404326537	-0.479192680316953	0.271818798135041	0.441118698091307	0.727397134366324	0.544099999999998	0.753804156563586
K05526	3.69307237427915	4.3636413096607	2.61819296532589	-1.21586838335719	0.932625389747893	-1.74260773550384	0.0186544736402646	0.0532313906930766	0.619422935661166	0.115299999999999	0.529460364870339
K05527	5.3441585289961	5.52742081209569	4.99639227975651	-0.428589203764598	0.386850489514995	-1.30354479516092	0.103930752184326	0.105601263688146	0.619422935661166	0.199999999999997	0.529460364870339
K05535	-1.68394758202801	0.423555527332113	-3.11946262990936	-1.28149628560696	3.4381510286718	-0.782495566637829	0.262000011397128	0.42110124311956	0.684491800061506	0.502199999999991	0.731442014675417
K05539	5.32164810488066	5.50462507460258	4.96176509247182	-0.42750712617651	0.407205430690013	-1.30874674150347	0.102666706601074	0.109460612007217	0.619422935661166	0.199999999999997	0.529460364870339
K05540	5.33975350620023	5.50692543431324	4.96384539576875	-0.457681405559027	0.408200622488836	-1.30635287554238	0.114666701812045	0.099339551516687	0.619422935661166	0.199899999999997	0.529460364870339
K05541	5.02087608102899	5.14270720812284	4.67874920973559	-0.427938569309755	0.392930413812942	-0.732778664913336	0.30533334183134	0.374672234755018	0.660110545997298	0.625899999999998	0.80472818004906
K05548	5.75504916407784	5.65068949568941	5.83779141028047	0.185387675763828	0.621753238122999	0.290152135294855	0.384000004540694	0.621789725565365	0.788746235540959	0.823900000000007	0.91142705997366
K05549	4.53722744060954	4.56349091149009	4.36392619262203	-0.197001513610915	0.258717712627968	-0.544224408523336	0.333333340277776	0.670878867936922	0.816759313119979	0.700000000000006	0.84895418976477
K05550	4.52443973789132	4.54055194691031	4.34963473675976	-0.192750470328368	0.248539941242427	-0.516502706983867	0.333333340277776	0.67369908528885	0.818360425057241	0.700000000000006	0.84895418976477
K05551	-3.93629196324552	-6.01569708160608	-1.78374643165204	3.47584492992511	1.90119086859452	1.91752935466839	0.00932760619403796	0.0407599058106193	0.616071193303272	0.105799999999999	0.529460364870339
K05552	-4.02873835681454	-5.9563634992619	-2.89837169100898	2.96098823946383	1.70399591859365	1.75677054279076	0.0179882603034015	0.0562715900959605	0.618408687613888	0.113299999999999	0.529460364870339
K05553	-4.95717070938499	-6.23312290972667	-3.05521055955807	2.97115521822835	3.51577378395955	0.827011894278181	0.148666692369559	0.220682264385453	0.623892825857809	0.268699999999997	0.578990988803245
K05554	-5.1740267436564	-6.62090055399751	-2.7911296821426	2.80795791848614	3.66618795049508	0.815310674299732	0.160666689965931	0.24786226753854	0.628949741229701	0.292599999999997	0.59438157901919
K05555	-4.27206150085003	-5.90327206992289	-3.71761263337308	2.17913786440874	1.52970739596669	1.40756116341358	0.0153234149354555	0.137255475078278	0.618909524528289	0.111999999999998	0.531610738481716
K05556	-5.27228365732903	-7.53130046461534	-4.54481237002327	3.30377571615633	2.48040995006844	1.22197033710229	0.0279815062431525	0.132593714243219	0.619081680661466	0.128499999999998	0.536555910542489
K05557	-8.52857930341053	-8.61517254001227	-8.43432117883724	0.174641571299835	3.96558974506806	0.0314137162732298	0.474666667607353	0.621611594562165	0.796846313918414	0.771100000000002	0.87808609644434
K05558	-1.555703494256	-1.70603120894011	-1.39633503604504	0.134170563868368	0.503916744504974	0.279577413601894	0.390000004281288	0.673070165410523	0.821875762858728	0.795500000000002	0.890977416039059
K05559	4.85584499249374	4.97887136214505	4.53624541465492	-0.281917842385084	0.468167751491523	-0.862577472066418	0.224000014701966	0.288981840325984	0.628616865907545	0.399799999999994	0.671469056630211
K05560	4.86554207672752	4.96808922789581	4.53263919644784	-0.282204556974673	0.453803789147389	-0.824266270930723	0.217333348720104	0.304344105752833	0.633222470600466	0.399999999999994	0.671631928137239
K05561	4.85257640197957	4.97606863598668	4.53595450637958	-0.284279403926726	0.468127197309742	-0.870581367785612	0.222000014903501	0.289380875865734	0.628701424378927	0.399799999999994	0.671470003683328
K05562	4.85729670732912	4.96752593794842	4.53425712788032	-0.261706693177938	0.452043181027547	-0.831405877768635	0.226515670662956	0.300836264529236	0.63221343117223	0.399999999999994	0.671631928137239
K05563	4.85413995167561	4.97060599122862	4.53229986062624	-0.278794714657074	0.446951000344548	-0.854528689446547	0.221333348304743	0.30456094921037	0.633279179994774	0.399999999999994	0.671631928137239
K05564	4.85975751841629	4.97884984447871	4.53250270157436	-0.282252906213223	0.465530855502048	-0.856289943134653	0.219187223699967	0.28849752673637	0.628503103761163	0.399999999999994	0.671631928137239
K05565	3.08411500412721	2.83033202661846	3.19694238832703	0.372438395410432	0.263369144724807	1.54688231091268	0.00133676857876842	0.110917972671115	0.619422935661166	0.101399999999999	0.529460364870339
K05566	2.29048694468574	2.15343619090661	2.48319709119016	0.416431199689214	0.262679134937202	1.76944804371966	4.67861010389608e-05	0.0603463569267563	0.619372817198898	0.100099999999999	0.529460364870339
K05567	3.12708409680979	2.82579628607638	3.21863182079574	0.412455826796227	0.284888516581699	1.6696091595041	4.67861010389608e-05	0.0863685259948057	0.619422935661166	0.0999999999999986	0.529460364870339
K05568	3.14113666247291	2.83709643273924	3.26787991125581	0.452065792894032	0.274487935631599	1.82120826479677	4.67861010389608e-05	0.0672314454203162	0.619422935661166	0.0999999999999986	0.529460364870339
K05569	3.06900409175129	2.81448837880117	3.16318884707623	0.364662268543356	0.256527520834234	1.58768563282121	0.000672920018806483	0.115590949147331	0.619422935661166	0.100099999999999	0.529460364870339
K05570	3.07763187071458	2.81544967455779	3.17456663570171	0.372269903721541	0.253861143962464	1.60423634178754	4.67861010389608e-05	0.107132693054474	0.619422935661166	0.0999999999999986	0.529460364870339
K05571	3.09654207385059	2.80622035472493	3.19266906457953	0.40336238356259	0.292845986338033	1.63186313466955	0.00133676857876842	0.0920003066482781	0.619422935661166	0.100499999999999	0.529460364870339
K05572	-4.30281011755759	-3.99425017383678	-4.85747394916791	-1.08505749273963	1.4780280421078	-0.726384399950631	0.206666683232425	0.282371010419007	0.640953844083447	0.402699999999994	0.669381247123281
K05573	-4.19990163019458	-3.97470513942282	-4.42737921814614	-0.911251634149092	1.44778723487652	-0.587528269864644	0.247834789324005	0.342131315966796	0.659842415317581	0.517399999999994	0.735181516568121
K05574	-4.14006037336618	-3.9782898436463	-4.26564132236479	-0.830204095318623	1.52698840345548	-0.5032997881614	0.287141915012254	0.377803173137314	0.67211264052062	0.614299999999998	0.790783618410434
K05575	-2.65746116021681	-2.50493449049242	-2.84295013689562	-0.931309323942997	1.67891106245092	-0.576973950779043	0.29713525215332	0.373033227789341	0.665186703599251	0.598299999999995	0.785687387556905
K05576	-1.25893943293321	-1.34191661153696	-1.13601954365901	0.225790256328228	0.636944360667027	0.369451602599689	0.342438380887421	0.563214967122184	0.760171802836891	0.710699999999999	0.847481932498416
K05577	-0.00308194506568071	0.240070113214953	-0.228153053745995	-0.532384593734658	0.599304922300554	-0.910761079398087	0.138666694678435	0.205519639908999	0.621029819493616	0.257499999999997	0.570944644630257
K05578	-2.30199442132604	-2.41571328749348	-2.09931327407837	0.30442245555664	0.839514771112068	0.30867227855786	0.360000005626285	0.481995527629529	0.717336173853427	0.731700000000002	0.8580501879118
K05579	-4.29673110552148	-3.9891130387448	-4.89692362182024	-1.10671025995538	1.4280434324026	-0.730568176799134	0.198534327978905	0.280719248852482	0.641028841821893	0.393899999999995	0.663626319469657
K05580	-4.13411141926474	-3.58853761404665	-4.78140120642622	-1.25151029781816	1.3897882602832	-0.841382695908387	0.157333357264905	0.229282505577304	0.629317645490372	0.289199999999998	0.599417053187621
K05581	-4.30258540627732	-3.99376111049595	-4.8595740944151	-1.10283883031944	1.39730739867354	-0.721013649752826	0.205196552357659	0.282823415415439	0.640749297079317	0.405099999999995	0.669738625604126
K05582	-4.30715905303063	-3.97957560997746	-4.8654244146465	-1.07717323940301	1.41553376991182	-0.746001574612528	0.208000016412335	0.277965251041347	0.639951385644297	0.390499999999995	0.661740334553047
K05583	-4.30267386137295	-4.01438825681452	-4.88112172554602	-0.972569673572158	2.46369166167627	-0.416333997714094	0.218666681913453	0.361966747329165	0.65757121637714	0.424899999999995	0.681914568610628
K05584	-4.29562127333876	-3.97681024654984	-4.87877515346385	-1.09083093474628	1.40062622514042	-0.7197468326577	0.206528997239166	0.277215201554138	0.639708550731629	0.385499999999995	0.658418126646241
K05585	-4.31749068447446	-3.99919417361659	-4.87668380869144	-1.09623608125168	1.42855031336477	-0.779617581612464	0.212666682555939	0.272663507561664	0.638790718672735	0.380199999999995	0.655923271793824
K05586	-6.22608071806115	-8.52247878940614	-5.6579454495373	2.71712917846212	4.78117827261015	0.474815258312976	0.356000005815711	0.51492431784774	0.734744801875501	0.743800000000008	0.870938310735205
K05587	-6.20333865293273	-8.59463876813616	-5.6444932861475	2.8830112607365	4.90373358327222	0.491849637747157	0.350666672739211	0.505556158637252	0.729867678137957	0.743800000000007	0.871058257742942
K05588	-6.21850442672788	-8.62773870216914	-5.63211108872575	2.96593533903317	4.83395326295072	0.511793283044764	0.349100605741001	0.501907766103595	0.72764839042873	0.738100000000007	0.868019381728143
K05589	5.30052129886961	5.43890390796209	4.88372330904366	-0.45402760605843	0.453101749750917	-1.23076247215088	0.11333336896157	0.102940747463632	0.619422935661166	0.199999999999997	0.529460364870339
K05590	1.21190783241019	1.16102546599047	1.24588874480388	-0.0806584791481679	1.75324894726487	-0.044495846032151	0.457694871662661	0.656939626649299	0.808818442116616	0.970900000000002	0.985278885918134
K05591	4.03113377782935	4.87800517379345	2.99966319769573	-1.1274165520972	1.0613337721009	-1.73731096829407	0.116588975128604	0.0608831559489653	0.619422935661166	0.199999999999997	0.529460364870339
K05592	4.83249814050818	5.37904003041806	4.65954976076404	-0.71641176579445	0.434126342842697	-1.38846380444924	0.108594307875146	0.1123412260906	0.619422935661166	0.198999999999997	0.529460364870339
K05593	0.670253724463589	1.23793823444519	0.626790012417496	-0.591390459509747	0.54972011930133	-0.407377799181046	0.333333340277776	0.787896708767636	0.884353446878586	0.700000000000006	0.84895418976477
K05594	0.288557022959536	0.90378664425938	0.174629154988002	-0.735320075751629	1.32667347870137	-0.711607558063384	0.232000013927131	0.343259794871996	0.647274791047035	0.413499999999994	0.679610421409739
K05595	5.2655901719418	5.35756057794144	5.02961268605259	-0.258918930008409	0.392504778085046	-0.795250647815949	0.228000014308458	0.293341559633054	0.629981981613704	0.399999999999994	0.671631928137239
K05596	5.29026851786498	5.58458855450965	5.09586755826801	-0.490101587225062	0.318517322610528	-1.4076010775793	0.107333371280178	0.0897876389479001	0.619422935661166	0.195099999999997	0.529460364870339
K05597	3.14065791865913	4.88340799548698	2.06578000882647	-0.987164422028068	2.32257606151299	-1.08950011358623	0.113257863723011	0.264818360534902	0.622396777248659	0.199999999999997	0.529460364870339
