rn	rab.all	rab.win.water.lime.Day.1	rab.win.water.lime.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00050	3.82742947000086	2.95940172851875	4.32518462075534	1.34492229048418	1.36084636431043	0.765282669949554	0.118587642003341	0.253737268075709	0.845822221756164	0.215999999999997	0.860985704076129
K00052	5.98959332594311	5.86372419914953	6.0991717904652	0.261108552568008	0.969321917190831	0.430283734017558	0.331112598656842	0.497749396483543	0.845829034544529	0.700000000000006	0.906056545998793
K00053	5.92627246114565	5.73181748015063	6.1045183166771	0.37546451180037	0.981597577195979	0.475543944405796	0.333111266107309	0.459855911975303	0.845822221756164	0.700000000000006	0.906056545998793
K00054	5.14247746525264	4.85059745090373	5.4739869235962	0.319588898509748	1.37804038364556	0.288353709421425	0.333777488590993	0.857286318002578	0.949565549689265	0.701500000000007	0.906519059338852
K00055	-3.01673452266225	-3.03735692228614	-2.98138511481831	-1.9269292024041	5.4795972918781	-0.394085427620178	0.38333333790312	0.463164738675719	0.85062172556307	0.814600000000002	0.949670776230523
K00057	6.03765842344904	5.86379119909283	6.18163045218451	0.318620076778466	0.919190971462991	0.420309816517832	0.346435715798556	0.535770143143545	0.846339022465078	0.706600000000007	0.908000737560961
K00058	6.73129366007863	6.47414277764105	6.8986613001932	0.414833510793564	0.862080033633821	0.430040988803946	0.347101938284043	0.567636899660335	0.848221840639292	0.730000000000007	0.91522873790359
K00059	8.03546961739964	7.91552391948467	8.09997928417923	0.412346580147421	0.893686660375967	0.546638741928212	0.249833456713348	0.437930616494064	0.845822221756164	0.489099999999991	0.872959881451176
K00060	3.18270668267932	3.10454776066192	3.3503998745417	0.611382877602039	1.1735456919109	0.540644303692797	0.277333343620393	0.427082224670853	0.845826091859963	0.536199999999992	0.881035086851037
K00064	3.51646372524876	3.32104025850192	3.74317414140439	0.00434303828955862	2.04364490429961	0.0020006220994276	0.499000666259482	0.767206388975811	0.914999629311426	1	1
K00065	2.91665101356498	3.05614259319706	2.66096765219009	0.0146912547797449	0.80040818796218	0.0144806010811036	0.495003331297425	0.909222185454203	0.968130025424449	0.995500000000001	0.998545281069523
K00066	-0.696631907326148	-0.892162119492871	1.42077336838809	2.29769373924526	6.72200871133278	0.371040945074589	0.227848115569919	0.462858054047501	0.848952613080492	0.404799999999994	0.861730407988455
K00067	5.75595495930807	5.52343266775916	5.83369128246379	0.313065547929436	0.850457158663472	0.381525416306688	0.333333340277776	0.486112534852671	0.845828072828283	0.696100000000005	0.906075999803473
K00068	-2.29554699620792	-1.04613735047559	-3.3588873841188	-0.942387153043011	5.07802847397402	-0.197064577364047	0.331112598656842	0.714188810934242	0.904999449381199	0.671399999999999	0.912723599913605
K00073	-7.31007663372919	-6.96938437230529	-7.45912517840315	-1.45625417901963	5.94466690032583	-0.239871277914751	0.419333336400829	0.602611453162491	0.889122665579899	0.727000000000001	0.932493214921448
K00074	5.95918084274302	5.72230036548996	6.14659354242911	0.417045911927263	1.2937784255924	0.283535805435936	0.391333337557549	0.744876021502196	0.905751016358438	0.852400000000007	0.952797507898039
K00075	6.05965773463175	5.8902727667087	6.19510381740641	0.299648683723782	0.892734578300372	0.404718475195271	0.342666673134211	0.527812407374239	0.846104089226916	0.712600000000007	0.909793885458734
K00076	-0.684192430100008	-0.505713253300343	-5.50555508504382	-5.01306563129885	5.02636662139808	-0.816634394904398	0.333333340277776	0.288790884753151	0.845822221756164	0.700000000000006	0.906056545998793
K00077	6.47623097039126	6.35747579967523	6.51222006978938	0.755840502949468	1.07636160861591	0.710945362754104	0.226000014503648	0.301840056060581	0.845822221756164	0.411399999999994	0.862504633303047
K00082	-2.77487915127399	-2.19477182691937	-5.45317818430951	-5.47935114098572	6.82284106803431	-0.991615005102861	0.087333381271608	0.163041671287836	0.845822221756164	0.196999999999998	0.861206537867608
K00086	-0.155372268275229	-0.0963433836038181	-0.224296798107366	-0.136611030323531	3.08812565926655	-0.0265220636165983	0.477333334174568	0.625708361315574	0.867118893223004	0.9976	0.999279883178532
K00087	-6.58023694531665	-7.08799783602259	-6.0875677844548	1.34586541065722	4.87609990048298	0.257976877242548	0.369087280348433	0.562151266529552	0.882123682269379	0.6817	0.924410929037256
K00088	6.23619022351737	6.08025177941672	6.3879479806092	0.311975811977607	0.597436999017057	0.343699785112615	0.42704863700083	0.497435959003295	0.845830549710635	0.965800000000002	0.989196364467864
K00090	3.77395293546861	3.20573077138533	4.35202436942746	1.03861290655682	0.957273660179643	0.951618836173377	0.125333364978809	0.209301373907913	0.845822221756164	0.206199999999997	0.860985704076129
K00091	3.46226133095415	3.41493450195673	3.52093295224209	0.0999511218589735	1.78166245952271	0.046532327824173	0.461333334774048	0.769386737803742	0.915758966303273	0.9994	0.99981787187458
K00094	-6.39881232831277	-5.08657144983484	-7.38152724253921	-2.54097397531604	4.97450479119738	-0.435348482666451	0.299800142063257	0.521564992769287	0.880249944106133	0.614099999999998	0.911069224655949
K00096	-0.857981262967154	0.524354321767108	-3.70287492271728	-2.43322155021656	6.83385823483092	-0.374195530069123	0.298467697108004	0.625568350578795	0.885069910453201	0.596899999999996	0.895842297264285
K00097	5.20629123079066	4.91163461480582	5.40933724287968	0.491606569314223	1.03784185544136	0.483106243501098	0.256495681360653	0.470825485981178	0.845822221756164	0.489099999999992	0.873329905961114
K00098	0.893144967146195	0.339051656687047	1.50613922266452	-0.658263461527898	2.38668670305497	-0.275750861129388	0.446000002023603	0.843870548407014	0.944113867367186	1	1
K00099	4.97993450798175	4.88453684456412	5.06803167977924	0.217062385032636	0.666438403234289	0.337605036464835	0.253333345407786	0.470949232760497	0.845845427168616	0.521199999999991	0.878473711482987
K00100	4.94521002145506	5.07559414218208	4.8174454032113	-0.216753589159658	1.2123422127293	-0.117481189976725	0.451698869225096	0.816110143808749	0.933845985929559	1	1
K00101	4.25055512476541	4.18470348787187	4.49985260622805	0.547749130888242	0.649079913464719	0.907944071659514	0.150566314404717	0.193142988008446	0.845822221756164	0.280799999999999	0.860985704076129
K00102	4.06390813405158	3.91895909837249	4.25344973919354	0.533507992640197	1.05603385686401	0.572233570979122	0.290666676067556	0.339337228832043	0.845822221756164	0.579299999999994	0.886990603743704
K00103	-7.11947939432943	-6.69199900183384	-7.45382855891157	-1.69654545708941	5.96500666548329	-0.285604822501838	0.390666670919393	0.573415235814624	0.886646345426117	0.701100000000001	0.928994904908945
K00104	4.82817557222431	4.73142630760176	5.1176970511707	0.394033673105184	0.596704080649844	0.555856856344917	0.224000014701966	0.358054671254758	0.845822221756164	0.409599999999994	0.862293732458912
K00105	-2.10027600857337	-1.94018033364912	-2.32172104612959	-2.28755596170963	5.03124291061005	-0.34485341407389	0.349100605741001	0.550848686783543	0.861467426030433	0.7213	0.924031966837377
K00106	-7.52284239033139	-7.64402290136952	-7.44705493246066	-0.488867283749737	5.13339462376715	-0.0853701838717959	0.461025984128586	0.616996329465303	0.890450074815597	0.764800000000002	0.940154092312732
K00108	5.82659432551846	5.1645775380357	5.9494677813126	0.832872952349743	0.909177244464691	0.957808180615078	0.221333348304743	0.187079965479211	0.845822221756164	0.394199999999995	0.860985704076129
K00111	5.92808185592353	5.81306452990226	6.00820715051	0.750740752047746	1.0662366558478	0.59899692560623	0.332445043623722	0.367057523447358	0.845822221756164	0.676900000000004	0.902135807806772
K00112	-2.76398807871191	-0.469356844733312	-3.42363839322756	-2.30089138817745	5.49965969856095	-0.398480935822785	0.284000009835547	0.621754338850152	0.888085336691764	0.552799999999993	0.88392625599656
K00113	-1.93136955808215	-0.552019052232692	-2.26526239227917	-1.58530175809	5.68374097089712	-0.275906631079453	0.283333343213252	0.714020439310567	0.90652857101659	0.561199999999993	0.885414938894561
K00114	2.12928273840134	1.71487009496035	3.10994306326483	0.998050214535342	1.81648567784098	0.634082888190272	0.245836121937002	0.436660746180004	0.845984571208005	0.458199999999992	0.86980719361016
K00116	5.91440604309841	5.88903235457517	6.48190043139324	0.598486042606473	0.921710178728596	0.720950202352962	0.221333348304743	0.302617563402981	0.845822221756164	0.399999999999994	0.860985704076129
K00117	2.94845380898652	2.79471021721319	4.08700404975495	1.37359883981185	1.1000540824756	1.38448572082797	0.0153234149354555	0.0778440282809516	0.845822221756164	0.117499999999999	0.860985704076129
K00118	-6.38110897420038	-6.67885838748621	-6.10913624259949	1.74153322403444	7.56854722443016	0.222826013047944	0.42066666968082	0.674857196066562	0.8986040320679	0.7873	0.943247516142021
K00121	4.88314224897094	5.00833817016703	4.72323533643056	0.852868972350624	1.29792953295547	0.463963517245677	0.449333335229345	0.417064800009025	0.845822221756164	1	1
K00122	4.16498418516645	3.69004239059663	4.76877694248846	1.06316486551789	1.49271337936748	0.712456680961411	0.226515670662956	0.33378296871295	0.845822221756164	0.410599999999994	0.862306028241524
K00123	6.03448559057813	5.36809767222759	6.0708057641195	0.810895197089747	1.01720573140196	0.847074699846275	0.218000015316584	0.187012830592699	0.845822221756164	0.399399999999994	0.860985704076129
K00124	4.74585071483515	4.36083892558507	5.04073153468532	0.846505081089267	1.23298907542462	0.967570646495014	0.128580976687877	0.223192101525739	0.845822221756164	0.218599999999997	0.860985704076129
K00125	-7.69111364513277	-8.72252388712626	-6.11932545625956	3.18215355671785	5.09735533335782	0.564004264281878	0.273817465548373	0.414337175451989	0.867361631643327	0.521199999999997	0.900641976254058
K00126	3.27142466493169	1.92754849247573	3.47727536591629	1.2826111786846	0.867721717148442	1.0670234042252	0.208666683002966	0.197723285716774	0.845822221756164	0.375799999999995	0.860985704076129
K00127	4.75022233286414	3.65569593509764	5.05479792819634	1.13304741380677	1.22104893126243	1.10480493880957	0.103264529956843	0.123803532701581	0.845822221756164	0.202399999999997	0.860985704076129
K00128	7.72078351124426	7.74152667533671	7.70147555216592	0.605732366785147	1.23106178901974	0.466470875894812	0.427333336082764	0.527699360749263	0.845857647469017	0.960100000000002	0.986994778252606
K00130	5.67247135576394	5.12800870823967	5.70034413681739	0.797050933278469	1.06304419800718	0.836033397516318	0.227333347706512	0.221397733338488	0.845822221756164	0.399999999999994	0.860985704076129
