rn	rab.all	rab.win.water.lime.Day.0	rab.win.water.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K02118	-1.45519943557435	1.95771970451734	-3.50382815464481	-4.68047471265239	2.5933547744346	-2.00878361021319	4.67861010389608e-05	0.0365956274733377	0.266646423409659	0.0999999999999986	0.254764156212911
K02119	-1.4688055808494	1.95905979637871	-3.52395454343705	-4.13434834248521	2.49727140540109	-2.06264878962997	4.67861010389608e-05	0.0308887601615926	0.252613164045053	0.100099999999999	0.254855981596916
K02120	-1.48169360504745	1.95571215606318	-3.49922730688552	-4.73325199956381	2.5251815070397	-2.01813252034197	4.67861010389608e-05	0.0362753797439469	0.265749572445488	0.0999999999999986	0.254764156212911
K02121	-1.53242401477131	1.35990719261704	-3.51855640572346	-3.69015027553434	2.15614221544733	-2.13085847604033	4.67861010389608e-05	0.0248107882518945	0.233975558437725	0.0999999999999986	0.254764156212911
K02122	-1.46602116932827	1.8574721816575	-3.50179273790427	-4.65738520220275	2.48029358532888	-2.06213918759904	4.67861010389608e-05	0.0365121223933297	0.266576919323922	0.0999999999999986	0.254764156212911
K02123	-1.52276299992083	1.96177911654851	-3.5130322843963	-4.70509794614055	2.51915506000456	-2.07329093777809	4.67861010389608e-05	0.0367808102315106	0.26703809145042	0.100099999999999	0.254863929544851
K02124	-1.48694239511459	1.95773473069071	-3.51413231380665	-4.68167220876796	2.58350551862764	-1.96796254335726	4.67861010389608e-05	0.0364446164919974	0.266371409066232	0.0999999999999986	0.254764156212911
K02160	6.2722269104699	6.24873954224534	6.28568223950991	0.728132058474306	1.04249288502817	0.652228097350286	0.343333339767493	0.373483609035703	0.51511886284292	0.740200000000007	0.803672148707357
K02164	1.97864706112409	-0.752422439705509	2.77356672617039	3.67686888497881	1.26829908837652	2.58742073817616	4.67861010389608e-05	0.0442225128327712	0.282428588776639	0.0999999999999986	0.254764156212911
K02167	3.3215702939791	2.40314270316363	3.66259447669955	1.2438243725873	0.877876118012519	1.33202261114231	0.0080005738828997	0.144109593820114	0.347960372783933	0.107699999999999	0.262011671270209
K02168	5.32669274209674	3.19942357049783	5.50329794496091	2.30093151816924	1.518695921828	1.44857908277259	0.00533064245631318	0.0997868712321872	0.324933514464637	0.105899999999999	0.260258966144739
K02169	4.45104496670907	3.50117107495168	4.83798734798866	1.28620455273097	0.681812662507396	2.03769852125467	4.67861010389608e-05	0.0329764943760456	0.258382233229886	0.0999999999999986	0.254764156212911
K02170	2.95143868774867	1.89036976945903	3.88965820392307	1.96846809676189	0.362424105066049	5.37759213138376	4.67861010389608e-05	0.00363007867081571	0.113463462236288	0.0999999999999986	0.254764156212911
K02171	-0.690821461369873	3.17345592973836	-4.93529914022602	-8.42883855311969	1.30658344976241	-5.80810559549584	4.67861010389608e-05	0.00258039607697714	0.100171561449493	0.0999999999999986	0.254764156212911
K02172	-1.3802596386166	3.29012782675068	-4.94745848093191	-8.31032088152231	2.21191759772064	-4.0213397895958	4.67861010389608e-05	0.00627365764013949	0.138073681252322	0.0999999999999986	0.254764156212911
K02173	-7.90519522475287	-7.13193569703831	-8.24697647134265	-1.2409389447324	4.07123510263041	-0.252444895872251	0.376000004893566	0.569446559106572	0.671897400819074	0.676600000000001	0.749971519394958
K02182	-0.368510057534374	0.64527909899823	-0.478114726627705	-1.0910474024589	0.487809552693324	-1.07447047279792	0.20200001711741	0.215912411080706	0.393716661100999	0.396999999999995	0.527306350299218
K02184	-8.67510158190227	-8.9595963183011	-8.31031662316503	1.08545426184534	4.83615755226832	0.194020563572882	0.412391742183836	0.585113165779967	0.684177598839451	0.710800000000001	0.777753884925281
K02188	2.47845165228528	2.23166455823343	2.68559068918177	0.0919046044281027	0.695372926908535	0.156363802710166	0.433333335847159	0.852581527429647	0.894016920697293	0.931000000000004	0.947803619675919
K02189	3.21860396771212	3.07776704749542	3.29761775270122	0.172914745090032	0.628783234742038	0.167756426164871	0.447701534267589	0.877544680333923	0.913421021393402	1	1
K02190	-2.01431602334621	-1.69809047351452	-2.07390984403352	-0.379676258154682	3.3770546492138	-0.0886534313865785	0.372418392789095	0.80462511329242	0.856732887308143	0.753700000000007	0.813812595134554
K02191	-2.07094861735026	-2.02919965218756	-2.08195969429516	-0.0656139883063087	2.30411436935328	-0.016591620243313	0.467021986568215	0.546681461777262	0.655628522063323	0.837700000000007	0.877329876103235
K02192	4.34231742190111	3.46271190120669	4.70633396184834	1.24418625048864	0.678113640402898	1.8664315161758	4.67861010389608e-05	0.049386418142162	0.28946210431452	0.0999999999999986	0.254764156212911
K02193	2.95233933493285	2.3692948068864	3.17369206023145	0.796671958532766	0.432615691227899	1.80352992982632	4.67861010389608e-05	0.124253705299064	0.337231317014899	0.0999999999999986	0.254764156212911
K02194	3.83926491324376	2.72731320382532	4.6082462035073	1.9998771229484	0.4302187223349	4.79130093041049	4.67861010389608e-05	0.00203712004282575	0.0978044459510366	0.0999999999999986	0.254764156212911
K02195	3.84051603003521	2.73628271657581	4.61108524973482	1.99119619949514	0.429541039793115	4.76237710091322	4.67861010389608e-05	0.00198859953604708	0.0971457644713859	0.0999999999999986	0.254764156212911
K02196	2.90145560421934	1.6103366985237	3.06873474035863	1.48223292749881	0.796221180502345	1.89352210909551	4.67861010389608e-05	0.113819135485141	0.331637010538295	0.0999999999999986	0.254764156212911
K02197	3.84492826308649	2.73579190431087	4.60890357852788	1.99899009500986	0.437263811159486	4.67677978888912	4.67861010389608e-05	0.0020073540571382	0.0974521190289238	0.0999999999999986	0.254764156212911
K02198	3.83073352357238	2.73664742831312	4.60831776883243	1.98003518545306	0.425312241351833	4.82021543945794	4.67861010389608e-05	0.00102215071334962	0.0844043803343094	0.0999999999999986	0.254764156212911
K02199	2.960342196097	2.03021929519558	3.17278223134749	1.13105140480249	0.617656271868434	1.85347036329166	4.67861010389608e-05	0.0999176217769847	0.324459796505954	0.0999999999999986	0.254764156212911
K02200	3.79203265086068	3.12610644028503	4.13671226465287	1.00810433441271	0.308843515533682	3.17834006621377	4.67861010389608e-05	0.0544813075837385	0.295105611307844	0.0999999999999986	0.254764156212911
K02203	2.70040952252831	1.25458562310159	3.44309629000837	2.19788439692153	0.852278478689367	2.3801640661383	4.67861010389608e-05	0.0752916086383972	0.31072390254936	0.0999999999999986	0.254764156212911
K02204	4.48537693352709	3.64289871372784	4.80379804415378	1.16033697862869	0.779655747357158	1.44408219335819	0.0200002267476028	0.10642099697321	0.327763596089705	0.122299999999999	0.275757971490935
K02205	-5.72730959088722	-7.16209187006487	-5.17853529579167	-0.0286162016043985	6.09485979032511	-0.00550101457005384	0.49966688875316	0.74442646835231	0.809731602969856	0.932800000000004	0.949167638014121
K02217	5.98683634305636	4.80872287333878	6.49605413626096	1.61273789701883	1.29581013572719	1.29937406777025	0.111333369707144	0.097921157429659	0.323843853471497	0.199999999999997	0.349696264074891
K02221	4.99084185167363	5.0560863121255	4.8245590245357	-0.284477729392021	0.442181591250069	-0.689344686920809	0.222000014903501	0.320021471746264	0.469341170466796	0.400299999999994	0.558524145112915
K02224	4.26682525080649	4.16503442777507	4.38323132454586	0.337941929148256	0.562048852866928	0.674829957360348	0.301333342070768	0.328648107341816	0.476636001256456	0.618799999999998	0.714593423322447
K02225	3.24071636015711	2.36109115918031	3.28749676736394	0.935617525575231	0.564394626759251	0.687980517610984	0.333333340277776	0.405042742170098	0.541168948058786	0.700000000000006	0.773193329173357
K02226	5.12245064709463	4.29235991038749	5.21712676030329	1.28045766920826	1.50911383434524	0.908094879417112	0.219853446149311	0.191151030203167	0.365904907594727	0.399999999999994	0.558307520214996
K02227	4.73799775547996	4.61058525799523	4.86359995731305	0.254720701530519	0.552059755476956	0.405835688065357	0.402000003774635	0.648466391810018	0.736338468876652	0.895000000000005	0.920570680412952
K02228	2.17978231596517	1.43715455641956	2.41738452547331	0.949997101242174	0.582756901375391	1.05299396023432	0.162558317391277	0.215582049513778	0.385422766479132	0.295899999999997	0.446570777361598
K02229	2.5766813995337	2.61212493558576	2.55654986693082	-0.0548736711237217	0.844699485012677	-0.0691598862507888	0.458361094155813	0.846821502399714	0.890602112308155	0.988900000000001	0.99159350411649
K02230	3.34524099622004	3.8090496388102	3.04252662219919	-0.463240699073184	0.849483944332125	-0.399242912174584	0.333333340277776	0.892914831361813	0.924939320021983	0.700000000000006	0.773193329173357
K02231	4.34208096818878	4.33163162744952	4.34882365993752	0.0238349583979929	0.318756043339258	0.0732323006623392	0.416666669841269	0.638690118911439	0.728563246372386	0.787600000000002	0.841361090217676
K02232	4.22286325020277	4.01188489995384	4.40307073726439	0.393908462902835	0.397395444480067	0.945506956253108	0.164000022691599	0.218050272143923	0.386283502643346	0.303199999999997	0.457232886077391
K02233	4.86557494997268	4.52059615264098	5.01708661170642	0.772900823875414	1.50670226308139	0.586058459898024	0.220666681706355	0.375780821936735	0.51711275277285	0.399999999999994	0.558307520214996
K02234	2.7346055514848	1.78307758245093	2.8224186866479	1.00818155231388	0.730050384674003	0.526396203939998	0.333333340277776	0.610950411310792	0.706892269455551	0.700000000000006	0.773193329173357
K02236	0.884695683804628	4.05912349145796	-3.49379452580976	-7.51337183587659	1.42676305739453	-5.45157933751178	4.67861010389608e-05	0.0127763255428185	0.179202604344342	0.0999999999999986	0.254764156212911
K02237	5.07348606607569	5.15655181041873	4.84302884151848	-0.38180585257353	0.57709212884865	-0.751818533090918	0.223333348102116	0.265815983394741	0.42234650928977	0.399599999999994	0.557892775966954
K02238	6.0349732787742	5.69124313812678	6.24690140235441	0.709471884782564	0.843889308064087	0.956278451349936	0.11333336896157	0.186000980846533	0.364695507401228	0.200399999999997	0.350098284208337
K02239	-2.22972643773945	0.851357319949679	-2.34297894964678	-3.37514958512913	7.88372334605343	-0.526991707836569	0.257333345090326	0.486752398939267	0.60468819314642	0.493299999999991	0.625026543891978
K02240	1.04133414020087	4.05962025024324	-4.60922477905893	-8.60906726608597	1.47350912333381	-5.28540783736878	4.67861010389608e-05	0.014909273997449	0.193567196691385	0.0999999999999986	0.254764156212911
K02241	-5.45437948252675	-6.56204047052599	-4.88479187501738	1.78622473566896	1.58830647371641	0.979471632377235	0.0793333866612975	0.184359508450216	0.369113661307563	0.213499999999997	0.358837498616987
K02242	1.08474761130179	4.06276307010449	-3.12738605132769	-7.13715554215916	1.09038723191163	-6.24277523425524	4.67861010389608e-05	0.00382149528439761	0.116856583153274	0.0999999999999986	0.254764156212911
K02243	0.689510573900747	4.0577854763817	-4.66146799749047	-8.74536063046345	2.64575505403707	-3.30739967997359	4.67861010389608e-05	0.0491067313018426	0.269186902454884	0.0999999999999986	0.254764156212911
K02244	0.67195675191793	4.05748723506427	-4.56821400704833	-8.58015151685592	1.37980293703613	-5.98046853876926	4.67861010389608e-05	0.00659648369954745	0.139697683256684	0.0999999999999986	0.254764156212911
K02245	0.73095344128835	4.06042691683355	-4.5847358623562	-8.58048778210694	1.40545985954155	-5.95170463219519	4.67861010389608e-05	0.0071575483530385	0.144000860834418	0.0999999999999986	0.254764156212911
K02246	0.587995411516104	4.05804290480958	-6.04358793796212	-10.0593377804261	3.25660332084014	-3.14723521391296	4.67861010389608e-05	0.0425639364454467	0.262861179186134	0.0999999999999986	0.254764156212911
K02247	-7.99878545779603	-1.38201259468127	-10.1844083016545	-8.43644785083393	5.39987679979217	-1.43826183296196	0.0932711970359358	0.1343082381879	0.337400423606168	0.232899999999997	0.376893777121887
K02248	-0.606378938831876	1.50786159397402	-6.0751565974434	-7.92309029109816	3.24751535531823	-2.37464270790077	4.67861010389608e-05	0.0525686200100649	0.273449615601877	0.0999999999999986	0.254764156212911
K02249	-7.93222147027856	0.660541900541741	-10.3590386497215	-9.93368331432354	6.23560367333825	-1.47845574724706	0.0853333825251375	0.12435023224126	0.331435250852392	0.218299999999997	0.363779230272331
K02250	0.397671316819237	4.22236024176513	-4.04288934945601	-8.03402623667499	0.783875403759826	-10.1372218266652	4.67861010389608e-05	0.000598333818273494	0.0703639387863532	0.0999999999999986	0.254764156212911
K02251	-4.55897418276382	-7.25175412246931	-3.97214751415891	1.53981521076558	5.87794225146809	0.282975981616908	0.355096608116218	0.615828262719896	0.707515376941933	0.727	0.794893694280028
K02253	-7.83698926031362	-7.17212827311697	-8.38860407269197	-0.881695245072128	6.01797553902458	-0.133186755961674	0.406000003609039	0.657024294952397	0.740589752250883	0.7519	0.81507438675283
K02254	-6.44744645299248	-4.0660265688366	-8.52353583241515	-5.5066216078566	6.13769202412763	-0.884250349893011	0.145236535418953	0.244381766257237	0.420257721859809	0.301999999999997	0.442143217570509
K02255	-1.04306490030354	-3.20826151820613	-0.90978362183794	2.25734756448317	1.17151914058214	0.829329246007459	0.330666673750784	0.323215520874341	0.471838201420454	0.694000000000006	0.768884541925092
K02258	4.25625312207971	3.0525071056073	4.37877353583819	1.30918878204202	0.670178496848565	1.20780788452349	0.14923386965077	0.138354505168727	0.344959268309624	0.267499999999998	0.420045197536026
K02259	5.20448533025378	4.92056421201027	5.22639719859177	0.323314446530066	0.523612183268876	0.646576456732547	0.217333348720104	0.279969046363831	0.434433263352942	0.399999999999994	0.558307520214996
K02274	5.30269133920962	5.15691036863654	5.45606169288354	0.621016730790743	0.503763249761724	1.24433269595105	0.00866719606364082	0.11423564335134	0.331751767336354	0.105899999999999	0.260261472803219
K02275	5.4256488143481	5.31731108407383	5.62714456769392	0.64502360417652	0.509621402852527	1.36414194599645	0.000672920018806483	0.0917000667859306	0.319958536906341	0.100299999999999	0.255041033049269
K02276	5.48992905470627	4.96907822114055	5.8786098402873	1.14915251637759	0.553705571650436	2.32704743706239	4.67861010389608e-05	0.0234495408553114	0.230971264870376	0.0999999999999986	0.254764156212911
K02277	-0.783790007270255	1.51107314526304	-0.877130272638951	-2.3998667383016	2.51976504026211	-0.936661502142281	0.223184558401627	0.205633773052356	0.379404750406403	0.393899999999995	0.552026321106696
K02278	4.32718326565968	3.65401504208972	4.60060939787227	0.948726007964015	1.17748438698091	0.690832835196973	0.333333340277776	0.426386040301108	0.558788913546818	0.700000000000006	0.773193329173357
